site,period,initial_bleaching,final_bleaching,recovery_rate,recovery_proportion,persistence_rate,net_change,max_dhw_2023,temp_sd_2023,max_dhw_2024,temp_sd_2024,relevant_dhw,relevant_temp_sd
Grammanik Tiger FSA,2023_to_2024_PBL,36.777777777777786,6.083333333333333,30.694444444444454,0.8345921450151058,6.083333333333333,-30.694444444444454,19.2382316176469,1.1946356012471335,20.0569947916665,0.8837633846823836,19.2382316176469,1.1946356012471335
Great Pond,2023_to_2024_PBL,14.083333333333334,0,14.083333333333334,1,0,-14.083333333333334,17.2090147058825,1.5546868339345872,23.1001354166666,1.2591555138759778,17.2090147058825,1.5546868339345872
Hind Bank East FSA,2023_to_2024_PBL,4.777777777777779,0,4.777777777777779,1,0,-4.777777777777779,17.1795073529413,1.1410958454154645,18.2382135416667,0.8508020227084803,17.1795073529413,1.1410958454154645
Jacks Bay,2023_to_2024_PBL,32.5,0,32.5,1,0,-32.5,17.3065882352939,1.478698307821557,21.6920520833334,1.202766880635289,17.3065882352939,1.478698307821557
Kings Corner,2023_to_2024_PBL,15,0,15,1,0,-15,19.1045073529412,1.4481546443265845,21.4310833333334,1.1486018148352506,19.1045073529412,1.4481546443265845
Lang Bank EEMP,2023_to_2024_PBL,63.333333333333336,10,53.333333333333336,0.8421052631578947,10,-53.333333333333336,20.791669117647,1.449241858852313,24.4111562500001,1.172375820619925,20.791669117647,1.449241858852313
Lang Bank Red Hind FSA,2023_to_2024_PBL,17.5,4.166666666666666,13.333333333333334,0.761904761904762,4.166666666666666,-13.333333333333334,21.0152279411765,1.4531076342518248,25.53428125,1.1715591928963724,21.0152279411765,1.4531076342518248
Magens Bay,2023_to_2024_PBL,35.766666666666666,0,35.766666666666666,1,0,-35.766666666666666,18.4003088235294,1.5053253842947103,22.4826666666667,1.2729671779603262,18.4003088235294,1.5053253842947103
Meri Shoal,2023_to_2024_PBL,26.666666666666664,0,26.666666666666664,1,0,-26.666666666666664,19.9913823529413,1.4573592333890055,20.9163749999999,1.151309846544644,19.9913823529413,1.4573592333890055
Mutton Snapper FSA,2023_to_2024_PBL,0,0,0,0,0,0,2.1019268207283,0.6297786113512291,23.5598645833334,1.1261677160343573,2.1019268207283,0.6297786113512291
Salt River Deep,2023_to_2024_PBL,15,0,15,1,0,-15,21.7425514705883,1.4319169446270368,25.4333437500001,1.1839182243565034,21.7425514705883,1.4319169446270368
Salt River West,2023_to_2024_PBL,38,0,38,1,0,-38,14.3500129901959,1.4481930569522878,3.3019514705883,1.0072455105963614,14.3500129901959,1.4481930569522878
Savana,2023_to_2024_PBL,23.055555555555543,1,22.055555555555543,0.9566265060240964,1,-22.055555555555543,18.7343749999999,1.4002370595900866,21.4048645833333,1.1909445608249103,18.7343749999999,1.4002370595900866
Seahorse Cottage Shoal,2023_to_2024_PBL,55.09587251828631,0,55.09587251828631,1,0,-55.09587251828631,19.3086727941177,1.4889972585289086,22.5131510416666,1.204717353273107,19.3086727941177,1.4889972585289086
South Capella,2023_to_2024_PBL,15,5,10,0.6666666666666666,5,-10,20.2945551470588,1.4689323288035925,23.0204010416666,1.2180817483054034,20.2945551470588,1.4689323288035925
South Water,2023_to_2024_PBL,1.6666666666666667,0,1.6666666666666667,1,0,-1.6666666666666667,15.7572720588235,1.4768584621942715,18.9618541666667,1.1896079154902557,15.7572720588235,1.4768584621942715
Sprat Hole,2023_to_2024_PBL,33.33333333333333,13.333333333333334,19.999999999999993,0.5999999999999999,13.333333333333334,-19.999999999999993,18.3977941176469,1.4473839590316795,21.2626145833334,1.1732321410231907,18.3977941176469,1.4473839590316795
St James,2023_to_2024_PBL,32.916666666666664,0,32.916666666666664,1,0,-32.916666666666664,16.2815220588234,1.4867354015981291,20.3988854166667,1.20700863105462,16.2815220588234,1.4867354015981291
Black Point,2024_to_2025_PBL,61.34920634920635,9.166666666666666,52.182539682539684,0.8505821474773609,9.166666666666666,-52.182539682539684,18.7954352355072,1.549423166410273,21.351953125,1.2319053720220952,21.351953125,1.2319053720220952
Botany Bay,2024_to_2025_PBL,53.61904761904762,21,32.61904761904762,0.6083481349911191,21,-32.61904761904762,18.9528676470588,1.4372170413064729,22.0253333333333,1.2204960819072124,22.0253333333333,1.2204960819072124
Brewers Bay,2024_to_2025_PBL,16.666666666666664,16.666666666666668,0,0,16.666666666666664,3.552713678800501e-15,16.403605882353,1.551713904328569,20.7417083333334,1.1971937961944497,20.7417083333334,1.1971937961944497
