site,year,period,replicate,ncolonies,prev_bleached,prev_verypale,prev_anybleaching,prev_nobleaching
Coral Bay,2025,PBL,3.5,26.666666666666668,0.37037037037037,0,0.37037037037037,99.62962962962963
Eagle Ray,2022,Annual,3.5,10.333333333333334,0,0,0,100
Eagle Ray,2023,Annual,3.5,10.333333333333334,3.04232804232804,0,3.04232804232804,96.95767195767196
Eagle Ray,2024,Annual,3.5,10.666666666666666,2.8935185185185164,0,2.8935185185185164,97.10648148148148
Eagle Ray,2024,PBL,3.5,9.833333333333334,1.3888888888888884,0,1.3888888888888884,98.61111111111111
Eagle Ray,2025,PBL,3.5,12,0,0,0,100
Fish Bay,2022,Annual,3.5,6.833333333333333,0,0,0,100
Fish Bay,2023,Annual,3.5,11.333333333333334,14.07407407407408,0,14.07407407407408,85.92592592592592
Fish Bay,2024,Annual,3.5,9.333333333333334,6.9047619047619,0,6.9047619047619,93.0952380952381
Fish Bay,2024,PBL,3.5,10.166666666666666,2.083333333333333,0,2.083333333333333,97.91666666666667
Fish Bay,2025,PBL,3.5,7.166666666666667,0,0,0,100
Flat Cay,2022,Annual,3.5,68,0.24363351828140567,0,0.24363351828140567,99.75636648171859
Flat Cay,2023,Annual,3.5,64.66666666666667,15.959200086675317,2.2224084502845516,17.432450287801633,82.56754971219837
Flat Cay,2024,Annual,3.5,58.166666666666664,14.233694571485382,1.9035773071739468,15.782661949581328,84.21733805041866
Flat Cay,2024,PBL,3.5,53.5,1.5584723918057244,0,1.5584723918057244,98.44152760819429
Flat Cay,2025,PBL,3.5,54.666666666666664,1.535087719298245,0.171821305841925,1.70690902514017,98.29309097485985
Grammanik Tiger FSA,2022,Annual,3.5,12.666666666666666,0,0,0,100
Grammanik Tiger FSA,2023,Annual,3.5,13.833333333333334,7.089314194577357,0,7.089314194577357,92.910685805422645
Grammanik Tiger FSA,2024,Annual,3.5,12.333333333333334,0,0,0,100
Grammanik Tiger FSA,2024,PBL,3.5,10.833333333333334,0,2.0833333333333335,2.0833333333333335,97.91666666666667
Grammanik Tiger FSA,2025,PBL,3.5,11.333333333333334,0,0,0,100
Great Pond,2022,Annual,3.5,9.333333333333334,1.0416666666666665,0,1.0416666666666665,98.95833333333333
Great Pond,2023,Annual,3.5,12.333333333333334,2.3809523809523836,2.3809523809523836,4.761904761904767,95.23809523809524
Great Pond,2024,Annual,3.5,9.333333333333334,42.505411255411246,2.083333333333333,44.58874458874458,55.41125541125542
Great Pond,2024,PBL,3.5,8.5,0,0,0,100
Great Pond,2025,PBL,3.5,5.5,0,0,0,100
Hind Bank East FSA,2022,Annual,3.5,10.166666666666666,0,0,0,100
