site,period_p1,initial_bleaching_p1,final_bleaching_p1,response_magnitude_p1,recovery_achieved_p1,recovery_proportion_p1,persistence_rate_p1,worsening_achieved_p1,period_p2,initial_bleaching_p2,final_bleaching_p2,response_magnitude_p2,recovery_achieved_p2,recovery_proportion_p2,persistence_rate_p2,worsening_achieved_p2,recovery_change,response_consistency,pattern_classification,recovery_trajectory,mean_max_dhw,max_max_dhw,mean_temp_variability,total_thermal_weeks,thermal_years_available,temporal_observations,mean_bleaching_extent,max_bleaching_extent,min_bleaching_extent,bleaching_range,bleaching_variability,recovery_performance,thermal_stress_level,impact_severity,temporal_variability
Magens Bay,2023_to_2024_PBL,35.766666666666666,0,-35.766666666666666,35.766666666666666,1,0,0,2024_to_2025_PBL,60.63333333333333,8.208333333333334,-52.425,52.425,0.8646234194612424,8.208333333333334,0,16.65833333333333,Improving Performance,Consistent Strong Recovery,Accelerating Recovery,20.44148774509805,22.4826666666667,1.3891462811275184,46,2,5,21.255,60.63333333333333,0,60.63333333333333,26.30083147185866,Exceptional Recovery,Moderate Thermal Stress,NA,High Variability
Meri Shoal,2023_to_2024_PBL,26.666666666666664,0,-26.666666666666664,26.666666666666664,1,0,0,2024_to_2025_PBL,10,5.833333333333334,-4.166666666666666,4.166666666666666,0.41666666666666663,5.833333333333334,0,-22.5,Declining Performance,Variable Response,Decelerating Recovery,20.4538786764706,20.9163749999999,1.304334539966825,52,2,5,9,26.666666666666664,0,26.666666666666664,10.563958643530473,Moderate Recovery,Moderate Thermal Stress,NA,Low Variability
Mutton Snapper FSA,2023_to_2024_PBL,0,0,0,0,0,0,0,2024_to_2025_PBL,16.666666666666664,0,-16.666666666666664,16.666666666666664,1,0,0,16.666666666666664,Improving Performance,Variable Response,Accelerating Recovery,12.830895702030851,23.5598645833334,0.8779731636927932,40,2,5,3.333333333333333,16.666666666666664,0,16.666666666666664,7.453559924999299,Moderate Recovery,Minimal Thermal Stress,NA,Low Variability
Salt River Deep,2023_to_2024_PBL,15,0,-15,15,1,0,0,2024_to_2025_PBL,13,4,-9,9,0.6923076923076923,4,0,-6,Moderately Consistent,Variable Response,Stable Recovery Rate,23.5879476102942,25.4333437500001,1.30791758449177,59,2,5,6.7,15,0,15,6.852007005250359,Moderate Recovery,High Thermal Stress,NA,Minimal Variability
Salt River West,2023_to_2024_PBL,38,0,-38,38,1,0,0,2024_to_2025_PBL,47.5,0,-47.5,47.5,1,0,0,9.5,Moderately Consistent,Consistent Strong Recovery,Stable Recovery Rate,8.8259822303921,14.3500129901959,1.2277192837743245,24,2,5,17.766666666666666,47.5,0,47.5,23.092687635314824,Exceptional Recovery,Minimal Thermal Stress,NA,High Variability
Savana,2023_to_2024_PBL,23.055555555555543,1,-22.055555555555543,22.055555555555543,0.9566265060240964,1,0,2024_to_2025_PBL,42.33149509803922,0,-42.33149509803922,42.33149509803922,1,0,0,20.275939542483677,Improving Performance,Consistent Moderate Recovery,Accelerating Recovery,20.0696197916666,21.4048645833333,1.2955908102074984,49,2,5,13.510743464052286,42.33149509803922,0,42.33149509803922,18.796105218665513,Exceptional Recovery,Low Thermal Stress,NA,Moderate Variability
Seahorse Cottage Shoal,2023_to_2024_PBL,55.09587251828631,0,-55.09587251828631,55.09587251828631,1,0,0,2024_to_2025_PBL,40.35218253968253,2.5,-37.85218253968253,37.85218253968253,0.9380454824830976,2.5,0,-17.243689978603783,Declining Performance,Consistent Strong Recovery,Decelerating Recovery,20.91091191789215,22.5131510416666,1.3468573059010078,54,2,5,19.9229443449271,55.09587251828631,0,55.09587251828631,25.924231064727746,Exceptional Recovery,High Thermal Stress,NA,High Variability
South Capella,2023_to_2024_PBL,15,5,-10,10,0.6666666666666666,5,0,2024_to_2025_PBL,3.3333333333333335,2.5,-0.8333333333333335,0.8333333333333335,0.25000000000000006,2.5,0,-9.166666666666666,Moderately Consistent,Variable Response,Stable Recovery Rate,21.657478094362702,23.0204010416666,1.343507038554498,54,2,5,5.233333333333333,15,0.3333333333333333,14.666666666666666,5.712559263004046,Minimal Recovery,High Thermal Stress,NA,Minimal Variability
South Water,2023_to_2024_PBL,1.6666666666666667,0,-1.6666666666666667,1.6666666666666667,1,0,0,2024_to_2025_PBL,15.888888888888882,0.3333333333333333,-15.555555555555548,15.555555555555548,0.979020979020979,0.3333333333333333,0,13.888888888888882,Moderately Consistent,Variable Response,Accelerating Recovery,17.3595631127451,18.9618541666667,1.3332331888422635,51,2,5,3.5777777777777766,15.888888888888882,0,15.888888888888882,6.916343142812954,Moderate Recovery,Minimal Thermal Stress,NA,Minimal Variability
Sprat Hole,2023_to_2024_PBL,33.33333333333333,13.333333333333334,-19.999999999999993,19.999999999999993,0.5999999999999999,13.333333333333334,0,2024_to_2025_PBL,64.16666666666667,0,-64.16666666666667,64.16666666666667,1,0,0,44.16666666666668,Improving Performance,Consistent Moderate Recovery,Accelerating Recovery,19.83020435049015,21.2626145833334,1.3103080500274351,52,2,5,22.866666666666667,64.16666666666667,0,64.16666666666667,26.476771790466536,Exceptional Recovery,Low Thermal Stress,NA,High Variability
St James,2023_to_2024_PBL,32.916666666666664,0,-32.916666666666664,32.916666666666664,1,0,0,2024_to_2025_PBL,0,0,0,0,0,0,0,-32.916666666666664,Declining Performance,Declining Recovery Capacity,Decelerating Recovery,18.34020373774505,20.3988854166667,1.3468720163263745,51,2,5,6.916666666666666,32.916666666666664,0,32.916666666666664,14.552348035053772,No Recovery,Minimal Thermal Stress,NA,Low Variability
