site,bleaching_2023_annual,bleaching_2024_pbl,bleaching_2024_annual,bleaching_2025_pbl,dhw_2023,temp_sd_2023,dhw_2024,temp_sd_2024,response_2024_to_2025,recovery_achieved,response_2023_to_2024,temp_instability,cumulative_dhw,max_annual_dhw
Buck Island STT,20.486111111111118,18.75,33.84285714285715,16.666666666666668,15.5603150326797,1.4750993596128,20.0954895833333,1.2007886276501685,-17.17619047619048,17.17619047619048,-1.7361111111111178,2.6758879872629686,35.655804616013,20.0954895833333
Salt River West,38.0,0.0,47.5,0.0,14.3500129901959,1.448193056952288,3.3019514705883,1.0072455105963614,-47.5,47.5,-38.0,2.4554385675486494,17.6519644607842,14.3500129901959
Black Point,49.27457264957265,1.25,61.34920634920635,9.166666666666666,18.7954352355072,1.549423166410273,21.351953125,1.231905372022095,-52.182539682539684,52.182539682539684,-48.02457264957265,2.781328538432368,40.1473883605072,21.351953125
Salt River Deep,15.0,0.0,13.0,4.0,21.7425514705883,1.4319169446270368,25.4333437500001,1.1839182243565034,-9.0,9.0,-15.0,2.61583516898354,47.1758952205884,25.4333437500001
Fish Bay,40.416666666666664,15.0,31.666666666666668,0.0,19.5525735294118,1.592537010786918,21.5304687500001,1.2385801033719102,-31.666666666666668,31.666666666666668,-25.416666666666664,2.831117114158828,41.0830422794119,21.5304687500001
Eagle Ray,33.333333333333336,16.666666666666668,33.333333333333336,0.0,18.9731250000001,1.4726989239821155,21.8666770833333,1.2314016793242981,-33.333333333333336,33.333333333333336,-16.666666666666668,2.7041006033064137,40.839802083333396,21.8666770833333
Brewers Bay,34.083333333333336,0.0,16.666666666666668,16.666666666666668,16.403605882353,1.551713904328569,20.7417083333334,1.1971937961944497,0.0,0,-34.083333333333336,2.7489077005230187,37.1453142156864,20.7417083333334
Lang Bank Red Hind FSA,17.5,4.166666666666667,0.0,0.0,21.0152279411765,1.4531076342518248,25.53428125,1.1715591928963722,0.0,0,-13.333333333333332,2.624666827148197,46.5495091911765,25.53428125
Cane Bay,25.833333333333332,3.0,47.291666666666664,2.5,17.7278051470588,1.4501196611904563,20.5389687499998,1.1985383889353916,-44.791666666666664,44.791666666666664,-22.833333333333332,2.6486580501258477,38.2667738970586,20.5389687499998
Meri Shoal,26.666666666666668,0.0,10.0,5.833333333333333,19.9913823529413,1.4573592333890055,20.9163749999999,1.151309846544644,-4.166666666666667,4.166666666666667,-26.666666666666668,2.60866907993365,40.9077573529412,20.9163749999999
Buck Island STX Deep,0.0,0.0,0.8333333333333334,0.0,5.2900497606019,0.6530844983406299,26.4101727941177,1.1622355980212407,-0.8333333333333334,0.8333333333333334,0.0,1.8153200963618705,31.7002225547196,26.4101727941177
Mutton Snapper FSA,0.0,0.0,16.666666666666668,0.0,2.1019268207283,0.6297786113512291,23.5598645833334,1.1261677160343573,-16.666666666666668,16.666666666666668,0.0,1.7559463273855864,25.661791404061702,23.5598645833334
Seahorse Cottage Shoal,55.09587251828631,0.0,40.35218253968253,2.5,19.3086727941177,1.4889972585289086,22.5131510416666,1.204717353273107,-37.85218253968253,37.85218253968253,-55.09587251828631,2.6937146118020157,41.8218238357843,22.5131510416666
Coculus Rock,80.46469298245614,1.6666666666666667,65.46296296296296,27.79545454545455,18.6060142156863,1.5811416166434578,21.8528645833332,1.2631571144444556,-37.667508417508415,37.667508417508415,-78.79802631578947,2.844298731087913,40.4588787990195,21.8528645833332
