site,baseline_2024_annual,outcome_2025_pbl,predictor_2023_annual,persistence_2024_pbl,dhw_2023,temp_sd_2023,temp_range_2023,dhw_2024,temp_sd_2024,temp_range_2024,response_magnitude,recovery_achieved,proportional_recovery,cumulative_dhw,max_annual_dhw,temp_instability,impact_2023_to_2024,bleaching_persistence,response_pattern,weeks_above_30,total_dhw_accumulation,cv_temperature,recovery_category,thermal_stress_level,previous_impact_level,vulnerability_score
Botany Bay,53.61904761904762,21,30.277777777777786,2.5,18.9528676470588,1.4372170413064729,4.393044117647101,22.0253333333333,1.2204960819072124,4.008805147058801,-32.61904761904762,32.61904761904762,0.6083481349911191,40.9782009803921,22.0253333333333,2.6577131232136852,-27.777777777777786,0.08256880733944952,Consistent_Recovery,9,320.9978958333326,0.04236635695771047,Exceptional_Recovery,Extreme_Stress,Moderate_2023_Impact,0.849585060754172
Kings Corner,32.5,0,15,0,19.1045073529412,1.4481546443265845,4.3451102941176,21.4310833333334,1.1486018148352506,3.7780680147059016,-32.5,32.5,1,40.5355906862746,21.4310833333334,2.596756459161835,-15,0,Consistent_Recovery,14,408.7975520833331,0.03939545973018926,Exceptional_Recovery,Extreme_Stress,Low_2023_Impact,0.7695387903700949
Fish Bay,31.666666666666664,0,40.416666666666664,15,19.5525735294118,1.592537010786918,4.721161764705901,21.5304687500001,1.2385801033719102,3.800281250000001,-31.666666666666664,31.666666666666664,1,41.0830422794119,21.5304687500001,2.831117114158828,-25.416666666666664,0.3711340206185567,Consistent_Recovery,25,435.04914583333453,0.04219227879122678,Exceptional_Recovery,Extreme_Stress,Moderate_2023_Impact,0.8893723129908431
Castle,28.333333333333336,0,45,0,18.6817132352941,1.489108238897095,4.650624999999998,21.6446354166668,1.2111965687786828,3.7084074754901977,-28.333333333333336,28.333333333333336,1,40.3263486519609,21.6446354166668,2.700304807675778,-45,0,Consistent_Recovery,17,399.3982291666681,0.04154558591134705,Strong_Recovery,Extreme_Stress,Moderate_2023_Impact,0.9018065201682868
Coral Bay,27.5,6.166666666666667,40.833333333333336,0,22.6133529411764,1.6561318422582616,5.059926470588298,25.691125,1.3327389549335311,4.268201593137299,-21.333333333333332,21.333333333333332,0.7757575757575758,48.3044779411764,25.691125,2.988870797191793,-40.833333333333336,0,Consistent_Recovery,23,526.6081770833322,0.04536384838291273,Strong_Recovery,Extreme_Stress,Moderate_2023_Impact,1.0056114583333333
Buck Island STT,33.84285714285715,16.666666666666664,20.48611111111112,18.75,15.5603150326797,1.4750993596128,4.336580882352898,20.0954895833333,1.2007886276501682,3.717282475490201,-17.176190476190484,17.176190476190484,0.5075277895033068,35.655804616013,20.0954895833333,2.675887987262968,-1.7361111111111214,0.9152542372881352,Late_Recovery,14,349.16428124999914,0.04134456023293564,Strong_Recovery,Extreme_Stress,Low_2023_Impact,0.763388469605602
Mutton Snapper FSA,16.666666666666664,0,0,0,2.1019268207283,0.6297786113512291,1.620779761904803,23.5598645833334,1.1261677160343573,3.5804093137255,-16.666666666666664,16.666666666666664,1,25.661791404061702,23.5598645833334,1.7559463273855864,0,0,Late_Recovery,13,493.1688854166704,0.03863065622852599,Strong_Recovery,Extreme_Stress,Minimal_2023_Impact,0.7064955930627925
Lang Bank EEMP,33.33333333333333,17.5,63.333333333333336,10,20.791669117647,1.449241858852313,4.232669117647099,24.4111562500001,1.172375820619925,3.792030024509799,-15.833333333333329,15.833333333333329,0.4749999999999999,45.2028253676471,24.4111562500001,2.621617679472238,-53.333333333333336,0.15789473684210523,Consistent_Recovery,12,509.2979127155174,0.04033842925683232,Strong_Recovery,Extreme_Stress,Severe_2023_Impact,1.0390375327700063
South Water,15.888888888888882,0.3333333333333333,1.6666666666666667,0,15.7572720588235,1.4768584621942715,4.301014705882402,18.9618541666667,1.1896079154902557,3.6508805147059,-15.555555555555548,15.555555555555548,0.979020979020979,34.7191262254902,18.9618541666667,2.666466377684527,-1.6666666666666667,0,Late_Recovery,13,306.2065833333333,0.04104183518622534,Strong_Recovery,Extreme_Stress,Minimal_2023_Impact,0.6591393603184545
Salt River Deep,13,4,15,0,21.7425514705883,1.4319169446270368,4.213051470588301,25.4333437500001,1.1839182243565034,3.7923897058824,-9,9,0.6923076923076923,47.1758952205884,25.4333437500001,2.61583516898354,-15,0,Variable,14,543.885197916669,0.04074389257679394,Moderate_Recovery,Extreme_Stress,Low_2023_Impact,0.8708719508072068
Meri Shoal,10,5.833333333333334,26.666666666666664,0,19.9913823529413,1.4573592333890055,4.2121470588236,20.9163749999999,1.151309846544644,3.740723651960799,-4.166666666666666,4.166666666666666,0.41666666666666663,40.9077573529412,20.9163749999999,2.60866907993365,-26.666666666666664,0,Early_Recovery_Later_Persistence,7,369.958052083333,0.03993764344512194,Stable,Extreme_Stress,Low_2023_Impact,0.8041348805689437
South Capella,3.3333333333333335,2.5,15,5,20.2945551470588,1.4689323288035925,4.308790441176502,23.0204010416666,1.2180817483054034,3.796067095588199,-0.8333333333333335,0.8333333333333335,0.25000000000000006,43.31495618872541,23.0204010416666,2.687014077108996,-10,0.3333333333333333,Variable,13,444.8850729166653,0.04201153216850136,Stable,Extreme_Stress,Low_2023_Impact,0.8153113128442657
Buck Island STX Deep,0.8333333333333334,0,0,0,5.2900497606019,0.6530844983406299,1.8286931429548012,26.4101727941177,1.1622355980212409,3.9172316176471007,-0.8333333333333334,0.8333333333333334,1,31.7002225547196,26.4101727941177,1.8153200963618707,0,0,Stable,9,563.0641283700984,0.04014119772420158,Stable,Extreme_Stress,Minimal_2023_Impact,0.7817262883346489
Grammanik Tiger FSA,0.5,0.27777777777777835,36.777777777777786,6.083333333333333,19.2382316176469,1.1946356012471335,4.026698529411799,20.0569947916665,0.8837633846823836,3.117781862745101,-0.22222222222222163,0.22222222222222163,0.4444444444444433,39.2952264093134,20.0569947916665,2.078398985929517,-30.694444444444457,0.1654078549848942,Early_Recovery_Later_Persistence,1,256.04567187499936,0.03113859775200099,Stable,Extreme_Stress,Moderate_2023_Impact,0.7876118478075785
