site,year,period,replicate,ext_bleached,ext_verypale,ext_anybleaching,ext_nobleaching
Kings Corner,2022,Annual,3.5,4.166666666666667,0,4.166666666666667,45.833333333333336
Kings Corner,2023,Annual,3.5,15,0,15,18.333333333333336
Kings Corner,2024,Annual,3.5,32.5,0,32.5,0.8333333333333334
Kings Corner,2024,PBL,3.5,0,0,0,0
Kings Corner,2025,PBL,3.5,0,0,0,0
Lang Bank EEMP,2022,Annual,3.5,0.5,0,0.5,16.166666666666664
Lang Bank EEMP,2023,Annual,3.5,63.333333333333336,0,63.333333333333336,3.3333333333333335
Lang Bank EEMP,2024,Annual,3.5,33.33333333333333,0,33.33333333333333,0
Lang Bank EEMP,2024,PBL,3.5,6.666666666666667,3.3333333333333335,10,23.333333333333336
Lang Bank EEMP,2025,PBL,3.5,7.5,10,17.5,15.833333333333334
Lang Bank Red Hind FSA,2022,Annual,3.5,5.555555555555555,0.16666666666666666,5.555555555555555,77.77777777777779
Lang Bank Red Hind FSA,2023,Annual,3.5,17.5,0,17.5,15.833333333333334
Lang Bank Red Hind FSA,2024,Annual,3.5,0,0,0,0
Lang Bank Red Hind FSA,2024,PBL,3.5,4.166666666666666,0,4.166666666666666,12.5
Lang Bank Red Hind FSA,2025,PBL,3.5,0,0,0,0
Magens Bay,2022,Annual,3.5,1.6666666666666667,0,1.6666666666666667,31.666666666666664
Magens Bay,2023,Annual,3.5,33.1,13.333333333333334,35.766666666666666,14.233333333333333
Magens Bay,2024,Annual,3.5,27.599673202614365,43.333333333333336,60.63333333333333,6.033333333333333
Magens Bay,2024,PBL,3.5,0,0,0,0
Magens Bay,2025,PBL,3.5,8.208333333333334,0,8.208333333333334,8.458333333333334
Meri Shoal,2022,Annual,3.5,2.5,0,2.5,64.16666666666667
Meri Shoal,2023,Annual,3.5,26.666666666666664,0,26.666666666666664,6.666666666666666
Meri Shoal,2024,Annual,3.5,0,10,10,23.333333333333336
Meri Shoal,2024,PBL,3.5,0,0,0,0
Meri Shoal,2025,PBL,3.5,1.6666666666666667,5.833333333333334,5.833333333333334,27.5
Mutton Snapper FSA,2022,Annual,3.5,0,0,0,0
Mutton Snapper FSA,2023,Annual,3.5,0,0,0,0
Mutton Snapper FSA,2024,Annual,3.5,16.666666666666664,0,16.666666666666664,0
Mutton Snapper FSA,2024,PBL,3.5,0,0,0,0
Mutton Snapper FSA,2025,PBL,3.6,0,0,0,0
Salt River Deep,2022,Annual,3.5,1.5,0,1.5,31.833333333333336
Salt River Deep,2023,Annual,3.5,15,0,15,1.6666666666666667
Salt River Deep,2024,Annual,4,13,0,13,7
Salt River Deep,2024,PBL,3.5,0,0,0,0
Salt River Deep,2025,PBL,3.5,1.2222222222222219,4.166666666666666,4,12.666666666666668
Salt River West,2022,Annual,3.5,3.333333333333333,0,3.333333333333333,30
Salt River West,2023,Annual,3.5,38,0,38,12
Salt River West,2024,Annual,3.5,47.5,0,47.5,2.5
Salt River West,2024,PBL,3.5,0,0,0,0
Salt River West,2025,PBL,3.5,0,0,0,0
Savana,2022,Annual,3.5,1.1666666666666667,0,1.1666666666666667,32.166666666666664
Savana,2023,Annual,3.5,23.055555555555546,0,23.055555555555546,10.277777777777782
Savana,2024,Annual,3.5,24.929534313725483,29.166666666666664,42.33149509803922,41.001838235294116
Savana,2024,PBL,3.5,1,0,1,15.666666666666666
Savana,2025,PBL,3.5,0,0,0,0
Seahorse Cottage Shoal,2022,Annual,3.5,1.6666666666666667,0,1.6666666666666667,15
Seahorse Cottage Shoal,2023,Annual,3.5,53.70142089093703,42.77777777777778,55.09587251828631,11.570794148380351
Seahorse Cottage Shoal,2024,Annual,3.5,24.146825396825385,25,40.35218253968253,9.647817460317466
Seahorse Cottage Shoal,2024,PBL,3.5,0,0,0,0
Seahorse Cottage Shoal,2025,PBL,3.5,0,2.5,2.5,14.166666666666666
South Capella,2022,Annual,3.5,0.3333333333333333,0,0.3333333333333333,16.333333333333332
South Capella,2023,Annual,3.5,15,0,15,1.6666666666666667
South Capella,2024,Annual,3.5,0,3.3333333333333335,3.3333333333333335,13.333333333333334
South Capella,2024,PBL,3.5,3.3333333333333335,1.6666666666666667,5,11.666666666666668
South Capella,2025,PBL,3.5,0,2.5,2.5,14.166666666666666
South Water,2022,Annual,3.5,0,0,0,0
South Water,2023,Annual,3.5,1.6666666666666667,0,1.6666666666666667,15
South Water,2024,Annual,3.5,16.3125,3.3333333333333335,15.888888888888882,17.44444444444445
South Water,2024,PBL,3.5,0,0,0,0
South Water,2025,PBL,3.5,0.3333333333333333,0,0.3333333333333333,16.333333333333332
Sprat Hole,2022,Annual,3.5,3.5,0,3.5,46.5
Sprat Hole,2023,Annual,3.5,33.33333333333333,0,33.33333333333333,0
Sprat Hole,2024,Annual,3.5,47.5,16.666666666666664,64.16666666666667,2.5
Sprat Hole,2024,PBL,3.5,0,13.333333333333334,13.333333333333334,3.3333333333333335
Sprat Hole,2025,PBL,3.5,0,0,0,0
St James,2022,Annual,3.5,1.6666666666666667,0,1.6666666666666667,15
St James,2023,Annual,3.5,32.916666666666664,0,32.916666666666664,17.083333333333336
St James,2024,Annual,3.5,0,0,0,0
St James,2024,PBL,3.5,0,0,0,0
St James,2025,PBL,3.5,0,0,0,0
