site,year,period,replicate,ncolonies,prev_oldmortality,prev_recentmortality,prev_anymortality,prev_nomortality
Buck Island STX,2024,PBL,3.5,11.5,0,0,0,100
Buck Island STX,2025,PBL,3.5,11,3.663003663003665,0,3.663003663003665,96.33699633699634
Buck Island STX Deep,2022,Annual,3.5,10.666666666666666,12.229437229437233,0,12.229437229437233,87.77056277056276
Buck Island STX Deep,2023,Annual,3.5,9.166666666666666,0,0,0,100
Buck Island STX Deep,2024,Annual,3.5,10.833333333333334,4.079254079254081,0,4.079254079254081,95.92074592074592
Buck Island STX Deep,2024,PBL,3.5,9.833333333333334,0,0,0,100
Buck Island STX Deep,2025,PBL,3.5,9.166666666666666,19.50757575757575,0,19.50757575757575,80.49242424242425
Cane Bay,2022,Annual,3.5,12.5,11.460622710622715,0,11.460622710622715,88.53937728937728
Cane Bay,2023,Annual,3.5,17.333333333333332,1.71957671957672,0,1.71957671957672,98.28042328042326
Cane Bay,2024,Annual,3.5,11.5,4.738562091503267,0.980392156862745,5.718954248366016,94.28104575163398
Cane Bay,2024,PBL,3.5,14.333333333333334,3.055555555555555,0,3.055555555555555,96.94444444444446
Cane Bay,2025,PBL,3.5,19.166666666666668,18.77156659765355,0,18.77156659765355,81.22843340234645
Cane Bay Deep,2022,Annual,3.5,6.833333333333333,11.375661375661384,0,11.375661375661384,88.62433862433862
Cane Bay Deep,2023,Annual,3.5,6,0,0,0,100
Cane Bay Deep,2024,Annual,3.5,7.833333333333333,0,0,0,100
Cane Bay Deep,2024,PBL,3.5,7,6.623931623931634,7.905982905982916,7.905982905982916,92.09401709401709
Cane Bay Deep,2025,PBL,3.5,6.333333333333333,2.083333333333333,0,2.083333333333333,97.91666666666667
Castle,2022,Annual,3.5,14.833333333333334,7.4675324675324655,0,7.4675324675324655,92.53246753246754
Castle,2023,Annual,3.5,18.5,3.522695627958783,0.8771929824561401,3.522695627958783,96.47730437204122
Castle,2024,Annual,3.5,11.833333333333334,5.902777777777784,1.0416666666666665,5.902777777777784,94.09722222222221
Castle,2024,PBL,3.5,14.666666666666666,4.494586296056883,0,4.494586296056883,95.50541370394312
Castle,2025,PBL,3.5,9.666666666666666,61.92002442002442,2.3809523809523836,63.110500610500615,36.88949938949939
Coculus Rock,2022,Annual,3.5,16.166666666666668,5.158730158730167,0,5.158730158730167,94.84126984126983
Coculus Rock,2023,Annual,3.5,52.5,6.604985053260916,1.1494252873563215,7.754410340617235,92.24558965938277
Coculus Rock,2024,Annual,3.5,79.5,4.085084130955694,0.07645259938837916,4.161536730344074,95.83846326965593
Coculus Rock,2024,PBL,3.5,76.66666666666666,4.3006467664711305,0,4.3006467664711305,95.69935323352887
Coculus Rock,2025,PBL,3.5,54.166666666666664,11.8180361389407,0.144927536231884,11.962963675172583,88.03703632482741
College Shoal East,2022,Annual,3.5,13.166666666666666,6.512605042016807,0,6.512605042016807,93.4873949579832
College Shoal East,2023,Annual,3.5,15.166666666666666,3.8461538461538503,0,3.8461538461538503,96.15384615384615
College Shoal East,2024,Annual,3.5,14.666666666666666,1.5151515151515151,0,1.5151515151515151,98.48484848484848
College Shoal East,2024,PBL,3.5,11,4.313725490196078,0,4.313725490196078,95.68627450980392
College Shoal East,2025,PBL,3.5,11.166666666666666,32.21801346801348,0,32.21801346801348,67.78198653198652
Coral Bay,2022,Annual,3.5,23.5,2.28395061728395,0,2.28395061728395,97.71604938271605
Coral Bay,2023,Annual,3.5,22.833333333333332,3.093656817565728,1.19047619047619,4.284133008041918,95.71586699195808
Coral Bay,2024,Annual,3.5,19.5,0.5747126436781617,0,0.5747126436781617,99.42528735632183
